_ga;GA1.2.854380156.1583075211;.guru99.com;/;Tue Mar 01 20:36:53 IST 2022;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Sun Mar 01 20:37:51 IST 2020;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1312256442.1583075211;.guru99.com;/;Mon Mar 02 20:36:53 IST 2020;false
